20101028.0000,44.0000,0.1845,0.1910,0.1731,0.1731,21525.0300,0.1863,0.0053
20101029.0000,49.0000,0.1799,0.1900,0.1730,0.1900,28686.8500,0.1876,0.0037
20101030.0000,42.0000,0.1876,0.1990,0.1875,0.1989,26708.9400,0.1914,0.0029
20101031.0000,45.0000,0.1940,0.1989,0.1710,0.1925,40337.7500,0.1941,0.0073
20101101.0000,59.0000,0.1925,0.1955,0.1720,0.1955,21258.6100,0.1905,0.0057
20101102.0000,15.0000,0.1920,0.1950,0.1905,0.1938,5853.3940,0.1916,0.0014
20101103.0000,145.0000,0.1938,0.2750,0.1250,0.1931,61472.6200,0.1915,0.0297
20101104.0000,57.0000,0.1988,0.2360,0.1934,0.2300,29698.4300,0.2097,0.0148
20101105.0000,71.0000,0.2101,0.2639,0.2101,0.2600,36622.0700,0.2391,0.0135
20101106.0000,100.0000,0.2620,0.5000,0.2402,0.3900,32756.1200,0.2869,0.0662
20101107.0000,231.0000,0.4700,0.4700,0.2860,0.3400,77218.7100,0.3618,0.0417
20101108.0000,240.0000,0.3459,0.3700,0.2261,0.2430,118203.8000,0.3243,0.0305
20101109.0000,168.0000,0.2510,0.3230,0.1990,0.2100,47983.3900,0.2669,0.0383
20101110.0000,140.0000,0.2101,0.2400,0.1400,0.2400,30387.0200,0.2011,0.0261
20101111.0000,38.0000,0.2299,0.2400,0.2100,0.2231,5031.8800,0.2209,0.0092
20101112.0000,91.0000,0.2289,0.2900,0.2230,0.2682,40720.3800,0.2577,0.0175
20101113.0000,107.0000,0.2799,0.3000,0.2683,0.2760,21915.5700,0.2898,0.0096
20101114.0000,61.0000,0.2760,0.2990,0.2702,0.2790,16844.3200,0.2846,0.0095
20101115.0000,50.0000,0.2790,0.2828,0.2682,0.2682,8507.7400,0.2747,0.0057
20101116.0000,57.0000,0.2683,0.2750,0.2230,0.2230,33931.0100,0.2537,0.0162
20101117.0000,102.0000,0.2230,0.2900,0.2116,0.2299,32871.6000,0.2635,0.0219
20101118.0000,93.0000,0.2221,0.2830,0.2221,0.2678,37446.6700,0.2738,0.0147
20101119.0000,29.0000,0.2683,0.2800,0.2682,0.2800,2157.5620,0.2704,0.0042
20101120.0000,84.0000,0.2800,0.2900,0.2682,0.2830,14652.6900,0.2811,0.0047
20101121.0000,10.0000,0.2763,0.2820,0.2763,0.2767,765.0000,0.2780,0.0020
20101122.0000,54.0000,0.2768,0.2879,0.2690,0.2879,28205.8500,0.2772,0.0057
20101123.0000,23.0000,0.2825,0.2845,0.2760,0.2829,4856.9230,0.2804,0.0026
20101124.0000,14.0000,0.2829,0.2830,0.2761,0.2830,2514.9120,0.2824,0.0027
20101125.0000,58.0000,0.2825,0.2825,0.2780,0.2800,1679.5950,0.2798,0.0021
20101126.0000,198.0000,0.2790,0.2890,0.2761,0.2844,33531.8700,0.2836,0.0034
20101127.0000,8.0000,0.2844,0.2844,0.2826,0.2830,1825.3880,0.2826,0.0006
20101128.0000,101.0000,0.2830,0.2846,0.2700,0.2700,20802.1200,0.2762,0.0040
20101129.0000,153.0000,0.2790,0.2790,0.2151,0.2299,35055.4000,0.2511,0.0150
20101130.0000,67.0000,0.2299,0.2299,0.2040,0.2082,21476.2500,0.2128,0.0068
20101201.0000,50.0000,0.2095,0.2299,0.2095,0.2275,8157.8940,0.2148,0.0059
20101202.0000,128.0000,0.2280,0.2553,0.2180,0.2550,20312.2300,0.2363,0.0096
20101203.0000,30.0000,0.2500,0.2552,0.2430,0.2510,2570.3450,0.2466,0.0045
